Catalog Number,Inventory number,Suffix,Date D,Date M,Date P,PTS,Country,Place,Area,Locality,Formation,Member,Level,Age G1,Age G2,Anatomical part,Anatomical description,Taxonomy 1,Taxonomy 2,TR,Discoverer,Reference of first mention,Reference of description,Reference of taxonomical allocation,Reference of dating,Part
KNM-ER 730a,KNM-ER 730,A,1970,1971,1973,3,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,LKF - 5m,1.65-1.75,1.50-1.60,M,Mandibular body,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1971","Day and Leakey, 1973","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 730b,KNM-ER 730,B,1970,1971,1973,3,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,LKF - 5m,1.65-1.75,1.50-1.60,C,Squamosal part of occipital bone,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1971","Day and Leakey, 1973","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 730c,KNM-ER 730,C,1970,1971,1973,3,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,LKF - 5m,1.65-1.75,1.50-1.60,C,L frontal frag.,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1971","Day and Leakey, 1973","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 730d,KNM-ER 730,D,1970,1971,1973,3,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,LKF - 5m,1.65-1.75,1.50-1.60,C,L parietal frag.,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1971","Day and Leakey, 1973","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 730e,KNM-ER 730,E,1970,1971,1973,3,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,LKF - 5m,1.65-1.75,1.50-1.60,C,Partial mandible,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1971","Day and Leakey, 1973","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 730f,KNM-ER 730,F,1970,1971,1973,3,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,LKF - 5m,1.65-1.75,1.50-1.60,M,Maxillary frag.,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1971","Day and Leakey, 1973","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 730g,KNM-ER 730,G,1970,1971,1973,3,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,LKF - 5m,1.65-1.75,1.50-1.60,T,LC,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1971","Day and Leakey, 1973","Wood, 1991","Feibel et al., 1989 ; McDougall et al., 2012",east
KNM-ER 730h,KNM-ER 730,H,1970,1971,1973,3,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,LKF - 5m,1.65-1.75,1.50-1.60,T,RI1,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1971","Day and Leakey, 1973","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 731,KNM-ER 731,#,1970,1971,1973,3,Kenya,Ileret,6A,#,Koobi Fora,Okote,MFB- 11m,1.49-1.55,1.49-1.55,M,L mandibular body frag.,cf. H. aff. H. erectus,cf. H. aff. H. ergaster,UTA,K. Kimeu,"Leakey, 1971","Day and Leakey, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 732a,KNM-ER 732,A,1970,1971,1972,2,Kenya,Ileret,10,#,Koobi Fora,KBS,Upper KBS Mb,1.65-1.75,~1.60,C,Partial skull with R face,P. boisei,P. boisei,CTA,H. Mutua,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989; Mana et al., 2019",east
KNM-ER 732b,KNM-ER 732,B,1970,1971,1972,2,Kenya,Ileret,10,#,Koobi Fora,KBS,Upper KBS Mb,1.65-1.75,~1.60,C,R occipital condyle,P. boisei,P. boisei,CTA,H. Mutua,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989; Mana et al., 2019",east
KNM-ER 732c,KNM-ER 732,C,1970,1971,1972,2,Kenya,Ileret,10,#,Koobi Fora,KBS,Upper KBS Mb,1.65-1.75,~1.60,T,"I crown, likely RI1",P. boisei,P. boisei,CTA,H. Mutua,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989; Mana et al., 2019",east
KNM-ER 732d,KNM-ER 732,D,1970,1971,1972,2,Kenya,Ileret,10,#,Koobi Fora,KBS,Upper KBS Mb,1.65-1.75,~1.60,C,Cranial frag.,P. boisei,P. boisei,CTA,H. Mutua,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989; Mana et al., 2019",east
KNM-ER 733a,KNM-ER 733,A,1970,1971,1973,3,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 4m,1.49-1.55,1.49-1.55,M,R mandibular body,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1971","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 733b,KNM-ER 733,B,1970,1971,1973,3,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 4m,1.49-1.55,1.49-1.55,C,L parietal frag.,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1971","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 733c,KNM-ER 733,C,1970,1971,1973,3,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 4m,1.49-1.55,1.49-1.55,C,Frag. Calvaria,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1971","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 733d,KNM-ER 733,D,1970,1971,1973,3,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 4m,1.49-1.55,1.49-1.55,T,Half crown LP4,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1971","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 733e,KNM-ER 733,E,1970,1971,1973,3,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 4m,1.49-1.55,1.49-1.55,C,L maxillary frag.,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1971","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 733f,KNM-ER 733,F,1970,1971,1973,3,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 4m,1.49-1.55,1.49-1.55,C,L frontal frag with sus-orbital torus,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1971","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 733g,KNM-ER 733,G,1970,1971,1973,3,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 4m,1.49-1.55,1.49-1.55,C,L occipital frag.,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1971","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 733h,KNM-ER 733,H,1970,1971,1973,3,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 4m,1.49-1.55,1.49-1.55,C,R zygomatic bone frag.,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1971","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 733i,KNM-ER 733,I,1970,1971,1973,3,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 4m,1.49-1.55,1.49-1.55,C,R parietal frag.,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1971","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 733j,KNM-ER 733,J,1970,1971,1973,3,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 4m,1.49-1.55,1.49-1.55,C,L temporal frag.,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1971","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 734,KNM-ER 734,#,1970,1971,1991,21,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,LKF - 13m,1.65-1.75,1.53-1.63,C,L parietal frag.,Hominine GSI,Hominine GSI,GSI,R.E. Leakey,"Leakey, 1971","Wood, 1991","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 736,KNM-ER 736,#,1970,1971,1972,2,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 + 7m,1.65-1.75,1.53-1.63,P,L diaphyseal femur frag.,Hominine GSI,Hominine GSI,GSI,M.G. Leakey,"Leakey, 1971","Leakey et al., 1972","McHenry, 1994","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 737,KNM-ER 737,#,1970,1971,1973,3,Kenya,Koobi Fora,103,#,Koobi Fora,Okote,LKF - 1m,1.55-1.65,1.55-1.65,P,L femur diaphysis,H. erectus,H. ergaster,NTN,R.E. Leakey,"Leakey, 1971","Day and Leakey, 1973","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 738a,KNM-ER 738,A,1970,1971,1972,2,Kenya,Koobi Fora,105,#,Koobi Fora,KBS,KBS CC,1.83-1.93,1.83-1.93,P,L femur prox. frag.,Hominine GSI,Hominine GSI,GSI,B. Ngeneo,"Leakey, 1971","Leakey et al., 1972","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 738b,KNM-ER 738,B,1970,1971,1972,2,Kenya,Koobi Fora,105,#,Koobi Fora,KBS,KBS CC,1.83-1.93,1.83-1.93,P,Frag. femur diaphysis,Hominine GSI,Hominine GSI,GSI,B. Ngeneo,"Leakey, 1971","Leakey et al., 1972","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 739,KNM-ER 739,#,1970,1971,1972,2,Kenya,Ileret,1,#,Koobi Fora,Okote,CHA - 18 m,1.48-1.58,1.48-1.58,P,R humerus without prox. quarter,Hominine GSI,Hominine GSI,GSI,H. Mutua,"Leakey, 1971","Leakey et al., 1972","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 740,KNM-ER 740,#,1970,1971,1972,2,Kenya,Ileret,3,#,Koobi Fora,Okote,ILN + 10m,1.48-1.58,1.48-1.58,P,L humerus dist. frag.,Hominine GSI,Hominine GSI,GSI,W.M. Garland,"Leakey, 1971","Leakey et al., 1972","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 741,KNM-ER 741,#,1970,1971,1972,2,Kenya,Ileret,1,#,Koobi Fora,Okote,ILN + 10m,1.48-1.58,1.48-1.58,P,L tibia prox. Half,Hominine GSI,Hominine GSI,GSI,M.D. Leakey,"Leakey, 1971","Leakey et al., 1972","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 801a,KNM-ER 801,A,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,M,R mandibular body with teeth,P. boisei,P. boisei,CTA,R.E. Leakey,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 801c,KNM-ER 801,C,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Lm3 broken crown,P. boisei,P. boisei,CTA,R.E. Leakey,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 801d,KNM-ER 801,D,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Ri2,P. boisei,P. boisei,CTA,R.E. Leakey,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 802a,KNM-ER 802,A,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Rp4 crown,P. boisei,P. boisei,CTA,Team,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 802b,KNM-ER 802,B,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Lp4 crown,P. boisei,P. boisei,CTA,Team,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 802c,KNM-ER 802,C,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Rm1 broken crown,P. boisei,P. boisei,CTA,Team,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 802d,KNM-ER 802,D,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Lm2 broken crown,P. boisei,P. boisei,CTA,Team,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 802e,KNM-ER 802,E,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Lm3 broken crown,P. boisei,P. boisei,CTA,Team,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 802f,KNM-ER 802,F,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Rm3 crown,P. boisei,P. boisei,CTA,Team,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 802h,KNM-ER 802,H,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,C partial crown,P. boisei,P. boisei,CTA,Team,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 802i,KNM-ER 802,I,1971,1972,1973,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,LP3 crown,P. boisei,P. boisei,CTA,Team,Leakey 1972,"Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 803a,KNM-ER 803,A,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,L femur partial diaphysis,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803b,KNM-ER 803,B,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,L tibia partial diaphysis,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803c,KNM-ER 803,C,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,L ulna partial diaphysis,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803d,KNM-ER 803,D,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,L radius frag. diaphysis,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803e,KNM-ER 803,E,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,Frag. L talus,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803f,KNM-ER 803,F,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,L prox. metatarsal V frag.,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803g,KNM-ER 803,G,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,Frag. medial condyle L tibia,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803h,KNM-ER 803,H,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,T,LC crown,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803i,KNM-ER 803,I,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,T,RI1 crown,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803j,KNM-ER 803,J,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,L metatarsal III without head,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803k,KNM-ER 803,K,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,Intermed. foot phalanx ? III,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803l,KNM-ER 803,L,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,Intermed. foot phalanx ? II,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803m,KNM-ER 803,M,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,Dist. foot phalanx,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803n,KNM-ER 803,N,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,L fibula frag. diaphysis,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803o,KNM-ER 803,O,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,R fibula frag. diaphysis,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803p,KNM-ER 803,P,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,Radius frag. diaphysis,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803q,KNM-ER 803,Q,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,Hallux phalanx prox. diaphysis frag.,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803r,KNM-ER 803,R,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,Prox. phalanx frag.  (II or III ?),H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803s,KNM-ER 803,S,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,Phalanx frag. diaphysis,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 803t,KNM-ER 803,T,1971,1972,1974,3,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,P,Prox. metacarpal frag.,H. erectus,H. ergaster,NTN,M.G. Leakey,"Leakey, 1972","Day and Leakey, 1974","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 805a,KNM-ER 805,A,1971,1972,1973,2,Kenya,Ileret,1,#,Koobi Fora,Okote,ILN + 10m,1.49-1.55,1.49-1.55,M,R mandibular lat. body frag.,P. boisei,P. boisei,CTA,K. Kimeu,"Leakey, 1972","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 805b,KNM-ER 805,B,1971,1972,1973,2,Kenya,Ileret,1,#,Koobi Fora,Okote,ILN + 10m,1.49-1.55,1.49-1.55,M,L mandibular body frag.,P. boisei,P. boisei,CTA,K. Kimeu,"Leakey, 1972","Leakey and Walker, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 806a,KNM-ER 806,A,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,T,Lm3 crown,H. erectus,H. ergaster,NTN,H. Mutua,"Leakey, 1972","Leakey and Wood, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 806b,KNM-ER 806,B,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,T,Lm2 crown,H. erectus,H. ergaster,NTN,H. Mutua,"Leakey, 1972","Leakey and Wood, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 806c,KNM-ER 806,C,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,T,Lm1 crown,H. erectus,H. ergaster,NTN,H. Mutua,"Leakey, 1972","Leakey and Wood, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 806d,KNM-ER 806,D,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,T,Rm3 crown,H. erectus,H. ergaster,NTN,H. Mutua,"Leakey, 1972","Leakey and Wood, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 806e,KNM-ER 806,E,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,T,Rp3 broken crown,H. erectus,H. ergaster,NTN,H. Mutua,"Leakey, 1972","Leakey and Wood, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 806f,KNM-ER 806,F,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 1m,1.48-1.58,1.48-1.58,T,Lp3 crown,H. erectus,H. ergaster,NTN,H. Mutua,"Leakey, 1972","Leakey and Wood, 1973","Wood, 1991","Feibel et al., 1989",east
KNM-ER 807a,KNM-ER 807,A,1971,1972,1973,2,Kenya,Ileret,8A,#,Koobi Fora,KBS,OKL - 2m,1.65-1.75,1.55-1.65,C,R maxillary frag.,H. erectus,H. ergaster,NTN,N. Mutiwa,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 807b,KNM-ER 807,B,1973,1972,1973,0,Kenya,Ileret,8A,#,Koobi Fora,KBS,OKL - 2m,1.65-1.75,1.55-1.65,C,R maxillary frag.,H. erectus,H. ergaster,NTN,K. Kimeu,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 808a,KNM-ER 808,A,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 5m,1.49-1.55,1.49-1.55,T,Rdi1,H. erectus,H. ergaster,NTN,N. Mutiwa,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989",east
KNM-ER 808b,KNM-ER 808,B,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 5m,1.49-1.55,1.49-1.55,T,Ldi1,H. erectus,H. ergaster,NTN,N. Mutiwa,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989",east
KNM-ER 808c,KNM-ER 808,C,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 5m,1.49-1.55,1.49-1.55,T,RP3 germ,H. erectus,H. ergaster,NTN,N. Mutiwa,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989",east
KNM-ER 808d,KNM-ER 808,D,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 5m,1.49-1.55,1.49-1.55,T,RI2 germ,H. erectus,H. ergaster,NTN,N. Mutiwa,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989",east
KNM-ER 808e,KNM-ER 808,E,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 5m,1.49-1.55,1.49-1.55,T,Dist. half LI2 germ,H. erectus,H. ergaster,NTN,N. Mutiwa,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989",east
KNM-ER 808f,KNM-ER 808,F,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 5m,1.49-1.55,1.49-1.55,T,Frag I1 germ,H. erectus,H. ergaster,NTN,N. Mutiwa,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989",east
KNM-ER 808g,KNM-ER 808,G,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 5m,1.49-1.55,1.49-1.55,T,RM1 broken crown,H. erectus,H. ergaster,NTN,N. Mutiwa,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989",east
KNM-ER 808h,KNM-ER 808,H,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,OKU - 5m,1.49-1.55,1.49-1.55,T,RDM1 partial crown,H. erectus,H. ergaster,NTN,N. Mutiwa,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989",east
KNM-ER 809a,KNM-ER 809,A,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 2m,1.49-1.55,1.49-1.55,T,Lm crown,H. erectus,H. ergaster,NTN,K. Kimeu,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989",east
KNM-ER 809b,KNM-ER 809,B,1971,1972,1973,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 2m,1.49-1.55,1.49-1.55,T,Tooth Frags.,H. erectus,H. ergaster,NTN,K. Kimeu,"Leakey, 1972","Leakey and Wood, 1973","Groves and Mazak, 1975; Wood, 1991","Feibel et al., 1989",east
